DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,Community,shape_area_left,area_num_1_left,AreaNumber,shape_len_left,IS_REVIEWED_REAL,REVIEW_NOTES,index_right,Community.1,shape_area_right,area_num_1_right,AreaNumber.1,shape_len_right
Laxi Liquor,2024-02-09,Pass,TRUE,FALSE,FALSE,6922 W Grand Ave,CHICAGO,IL,60707.0,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED NO THERMOMETERS VISIBLE IN COOLERS. MUST PROVIDE THERMOMETERS IN A CONSPICUOUS SPOT IN ALL REFRIGERATION. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED FLOOR IN DISREPAIR IN WALK IN COOLER. OBSERVED RAW WOOD/SECTIONS OF FLOOR MISSING. MUST REPAIR FLOOR TO MAKE NON-POROUS, SMOOTH AND EASILY CLEANABLE. MUST MAINTAIN SAME. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED EXCESSIVE DUST IN THE FIRST WASHRROM FLOOR IN THE REAR. INSTRUCTED TO CLEAN AND MAINTAIN",41.9236807002974,-87.7986761286356,LAXI LIQUOR,6922 W GRAND AVE,POINT (-87.7986761286356 41.9236807002974),MONTCLARE,27576393.6325,18.0,18.0,22404.8521448,,,17.0,MONTCLARE,27576393.6325,18.0,18.0,22404.8521448
Del Rancho Market,2019-07-09,Out Of Business,TRUE,FALSE,FALSE,6814-6824 W Grand Ave,CHICAGO,IL,60707.0,,41.9237031573649,-87.7958532982089,DEL RANCHO MARKET,68146824 W GRAND AVE,POINT (-87.7958532982089 41.9237031573649),MONTCLARE,27576393.6325,18.0,18.0,22404.8521448,,,17.0,MONTCLARE,27576393.6325,18.0,18.0,22404.8521448
