DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Dollar General Store # 19096,3560 E 118Th St,CHICAGO,IL,60617.0,2020-12-15,Out Of Business,,41.6810521540672,-87.5365162684192,DOLLAR GENERAL STORE 19096,3560 E 118TH ST,True,False,False,POINT (-87.5365162684192 41.6810521540672),54.0,HEGEWISCH,145965741.437,55.0,55.0,73692.3821322,,
Walgreens,3514 E 118Th St,CHICAGO,IL,60617.0,2015-12-23,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: MUST CLEAN THE FLOORS INSIDE THE WALK-IN COOLER IN REAR OF PREMISES,ALONG WALL BASE AND CORNERS | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: MUST REMOVE CLUTTER FROM THE REAR STORAGE AREA,TO PREVENT RODENT HARBORAGE",41.6810559972963,-87.5383224142414,WALGREENS,3514 E 118TH ST,True,False,False,POINT (-87.5383224142414 41.6810559972963),54.0,HEGEWISCH,145965741.437,55.0,55.0,73692.3821322,,
Dollar Tree #640,3620 E 118Th St,CHICAGO,IL,60617.0,2014-02-21,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: CLEAN DISPLAY SHELVES ON SALES FLOOR WHERE NEEDED, AND REFRIGERATOR IN BREAK AREA. | 34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOORS THROUGHOUT ALL REAR SECTIONS ALONG THE WALL BASES, IN CORNERS, UNDERNEATH AND BEHIND ALL STOCK AND EQUIPMENT. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: MUST REPAIR FRONT AND REAR DOUBLE DOORS AT BOTTOM CENTER SECTIONS.   CLEAN DUST BUILD-UP ON CEILING VENTS IN WASHROOMS. | 41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ELIMINATE CLUTTERED SECTIONS IN REAR STORAGE AREA. ALL STOCK AND ARTICLES MUST BE STORED AWAY FROM THE WALLS AND ELEVATED 6 INCHES OFF FLOOR MAKING ALL AREAS ACCESSIBLE FOR CLEANING, INSPECTING AND SERVICING BY PEST CONTROL COMPANY.",41.6810479349592,-87.5356121317921,DOLLAR TREE 640,3620 E 118TH ST,True,False,False,POINT (-87.5356121317921 41.6810479349592),54.0,HEGEWISCH,145965741.437,55.0,55.0,73692.3821322,,
Hegewish Food Mart,2642 E 130Th St,CHICAGO,IL,60633.0,2012-06-21,Pass,,41.659316524262,-87.5588104826006,HEGEWISH FOOD MART,2642 E 130TH ST,True,False,False,POINT (-87.5588104826006 41.659316524262),54.0,HEGEWISCH,145965741.437,55.0,55.0,73692.3821322,,
