DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Family Dollar #32601,3542 S Archer Ave,CHICAGO,IL,60609.0,2025-03-10,Pass,,41.8294626186691,-87.6793915655124,FAMILY DOLLAR 32601,3542 S ARCHER AVE,True,False,False,POINT (-87.6793915655124 41.8294626186691),58.0,MCKINLEY PARK,39431799.6479,59.0,59.0,26014.0968371,,
B.P.,3269-3287 S Archer Ave,CHICAGO,IL,60608.0,2025-02-19,Pass,,41.8346137837903,-87.6705294294106,BP,32693287 S ARCHER AVE,True,False,False,POINT (-87.6705294294106 41.8346137837903),58.0,MCKINLEY PARK,39431799.6479,59.0,59.0,26014.0968371,,
Maria'S Corner Store,3359 S Leavitt St,CHICAGO,IL,60608.0,2024-03-15,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: 2-501.11 OBSERVED NO VOMIT AND DIARRHEA CLEAN-UP SUPPLIES ON SITE TO RESPOND TO EVENTS THAT CAN POTENTIALLY OCCUR INSIDE THE FACILITY. INSTRUCTED TO PROVIDE. PRIORITY FOUNDATION 7-38-005.,41.8322441734425,-87.6800730940298,MARIAS CORNER STORE,3359 S LEAVITT ST,True,False,False,POINT (-87.6800730940298 41.8322441734425),58.0,MCKINLEY PARK,39431799.6479,59.0,59.0,26014.0968371,,
Walgreens #5868,3798 S Western Ave,CHICAGO,IL,60609.0,2023-04-19,Out Of Business,,41.8248307599224,-87.6850152765675,WALGREENS 5868,3798 S WESTERN AVE,True,False,False,POINT (-87.6850152765675 41.8248307599224),58.0,MCKINLEY PARK,39431799.6479,59.0,59.0,26014.0968371,,
Shell,3501 S Damen Ave,CHICAGO,IL,60609.0,2022-05-05,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN THE FOLLOWING: STORAGE SHELVES IN THE STORAGE AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED UNNECESSARY ITEMS IN BOTH STORAGE AREAS; INSTRUCTED TO REMOVE UNUSED AND UNNECESSARY ITEMS TO AVOID CLUTTER IN STORAGE ROOMS.",41.8303005115906,-87.6751320207567,SHELL,3501 S DAMEN AVE,True,False,False,POINT (-87.6751320207567 41.8303005115906),58.0,MCKINLEY PARK,39431799.6479,59.0,59.0,26014.0968371,,
Dollar Tree#5617,3400 S Archer Ave,CHICAGO,IL,60608.0,2014-11-12,Pass,,41.8322335756238,-87.6748711646324,DOLLAR TREE5617,3400 S ARCHER AVE,True,False,False,POINT (-87.6748711646324 41.8322335756238),58.0,MCKINLEY PARK,39431799.6479,59.0,59.0,26014.0968371,,
Dollar Tree #743,1514 W 33Rd St,CHICAGO,IL,60608.0,2014-10-02,Pass,,41.8343110707191,-87.6638998932533,DOLLAR TREE 743,1514 W 33RD ST,True,False,False,POINT (-87.6638998932533 41.8343110707191),58.0,MCKINLEY PARK,39431799.6479,59.0,59.0,26014.0968371,,
Walgreens #1503,1926 W 35Th St,CHICAGO,IL,60609.0,2011-05-23,Pass,,41.8305150027422,-87.6739240666327,WALGREENS 1503,1926 W 35TH ST,True,False,False,POINT (-87.6739240666327 41.8305150027422),58.0,MCKINLEY PARK,39431799.6479,59.0,59.0,26014.0968371,,
