DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
7-Eleven,6754 W 63Rd St,CHICAGO,IL,60638.0,2022-10-18,Pass,"40. PERSONAL CLEANLINESS - Comments: FOOD HANDLERS WITHOUT HAIR RESTRAINTS. INSTD TO WEAR EFFECTIVE HAIR RESTRAINTS | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: WALK IN COOLER RUBBER DOOR GASKET TORN. INSTD TO REPAIR AND MAINTAIN | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: EXCESSIVE RUST ON EXTERIOR OF GREASE TRAP AT 3-COMPARTMENT SINK. INSTD TO REMOVE RUST AND MAINTAIN SURFACE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: BASIN OF REAR HANDWASH SINK NOT CLEAN, EXCESSIVE DEBRIS ACCUMULATION. INSTD TO MAINTAIN CLEAN AT ALL TIMES",41.7776449940784,-87.790794192483,7ELEVEN,6754 W 63RD ST,True,False,False,POINT (-87.790794192483 41.7776449940784),63.0,CLEARING,71145192.3827,64.0,64.0,45363.2861749,,
Walgreens # 06297,6016 W 63Rd St,CHICAGO,IL,60638.0,2020-05-01,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINST NOROVIRUS. PRIORITY FOUNDATION 7-38-005,41.7779581596288,-87.7722941960067,WALGREENS 06297,6016 W 63RD ST,True,False,False,POINT (-87.7722941960067 41.7779581596288),63.0,CLEARING,71145192.3827,64.0,64.0,45363.2861749,,
One Stop Cellular & Tobacco,6223 W 63Rd St,CHICAGO,IL,60638.0,2020-05-01,Out Of Business,,41.7776411726697,-87.7773012320788,ONE STOP CELLULAR TOBACCO,6223 W 63RD ST,True,False,False,POINT (-87.7773012320788 41.7776411726697),63.0,CLEARING,71145192.3827,64.0,64.0,45363.2861749,,
Friendly Food & Liquor,6323 S Central Ave,CHICAGO,IL,60638.0,2020-05-01,Out Of Business,,41.7772686733972,-87.7615427574882,FRIENDLY FOOD LIQUOR,6323 S CENTRAL AVE,True,False,False,POINT (-87.7615427574882 41.7772686733972),63.0,CLEARING,71145192.3827,64.0,64.0,45363.2861749,,
