DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
New York Dollar & Food,122 E 35Th St,CHICAGO,IL,60616.0,2021-03-22,No Entry,,41.8311642626286,-87.622198662125,NEW YORK DOLLAR FOOD,122 E 35TH ST,True,False,False,POINT (-87.622198662125 41.8311642626286),34.0,DOUGLAS,46004621.1581,35.0,35.0,31027.0545098,,
Walgreens #232,3405 S Dr Martin Luther King Jr Dr,CHICAGO,IL,60616.0,2020-12-10,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: THE LEFT WASHBOWL IN THE FIRST UNISEX TOILET ROOM NEEDS TO BE CAULKED. INSTRUCTED TO CAULK AND MAINTAIN. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: THE STORAGE RACKS IN THE WALK IN COOLER WITH DIRT, FOOD AND BEVERAGE SPILLS. INSTRUCTED TO CLEAN AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND SEVERAL WATER STAINED CEILING TILES IN THE FRONT OF THE STORE. INSTRUCTED TO REPLACE ALL CEILING TILES AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: THE FLOORS IN THE WALK IN COOLER, IN THE CORNERS, UNDER/AROUND THE STORAGE SHELVES THROUGH OUT WITH FOOD, DIRT AND DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN THE FLOORS THROUGH OUT.",41.8326245047175,-87.616841095915,WALGREENS 232,3405 S DR MARTIN LUTHER KING JR DR,True,False,False,POINT (-87.616841095915 41.8326245047175),34.0,DOUGLAS,46004621.1581,35.0,35.0,31027.0545098,,
Rothschild Liquors,124 E Pershing Rd,CHICAGO,IL,60653.0,2014-03-18,Pass,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: CLEAN FLOOR IN WALK-IN COOLER UNDER JUICE STORAGE SHELF. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: CLEAN FAN COVERS IN WALK-IN COOLER TO REMOVE DUST NOTED.  REPLACE WATER STAINED CEILING TILES WHERE NEEDED AND CLEAN CEILING VENTS WHERE NEEDED TO REMOVE DUST.",41.8238796868347,-87.6220292455963,ROTHSCHILD LIQUORS,124 E PERSHING RD,True,False,False,POINT (-87.6220292455963 41.8238796868347),34.0,DOUGLAS,46004621.1581,35.0,35.0,31027.0545098,,
