DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Bronzville Finer Foods,232-234 E 35Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2024-12-19,Out Of Business,,41.8311806982065,-87.6204909409371,BRONZVILLE FINER FOODS,232234 E 35TH ST,POINT (-87.6204909409371 41.8311806982065),34.0,DOUGLAS,46004621.1581,35.0,35.0,31027.0545098,,
Siri Indian Groceries,235 E 35Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2022-11-22,Pass,,41.8309615996429,-87.6204105413607,SIRI INDIAN GROCERIES,235 E 35TH ST,POINT (-87.6204105413607 41.8309615996429),34.0,DOUGLAS,46004621.1581,35.0,35.0,31027.0545098,,
Jimmy Foods,234 E 35Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2013-01-29,Out Of Business,,41.8311811274163,-87.6204126940239,JIMMY FOODS,234 E 35TH ST,POINT (-87.6204126940239 41.8311811274163),34.0,DOUGLAS,46004621.1581,35.0,35.0,31027.0545098,,
Aurora Food Inc,250-52 1/2 E 35Th St,TRUE,FALSE,FALSE,CHICAGO,IL,60616.0,2012-12-20,Out Of Business,,41.8311874046964,-87.6197876851651,AURORA FOOD INC,25052 12 E 35TH ST,POINT (-87.6197876851651 41.8311874046964),34.0,DOUGLAS,46004621.1581,35.0,35.0,31027.0545098,,
Indiana Grocers,221 E 31St St,FALSE,FALSE,FALSE,CHICAGO,IL,60616.0,2012-08-16,Out Of Business,,41.838266903507,-87.6209655957679,INDIANA GROCERS,221 E 31ST ST,POINT (-87.6209655957679 41.838266903507),34.0,DOUGLAS,46004621.1581,35.0,35.0,31027.0545098,,
