DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Hudson Nonstop,10000 W Ohare St,CHICAGO,IL,60666.0,2024-01-26,Pass,,41.9762011390239,-87.9053091251035,HUDSON NONSTOP,10000 W OHARE ST,TRUE,FALSE,FALSE,POINT (-87.9053091251035 41.9762011390239),75.0,OHARE,371835607.687,76.0,76.0,173625.98466,,
Hudson,10255 W Zemke Rd,CHICAGO,IL,60666.0,2023-11-20,Pass W/ Conditions,16. FOOD-CONTACT SURFACES: CLEANED & SANITIZED - Comments: ESTABLISHMENT HAS A SELF SERVICE COFFEE MACHINE. MUST PROVIDE COFFEE MACHINE CLEANING INSTRUCTIONS TO PROPERLY CLEAN COFFEE MACHINE. PRIORITY VIOLATION 7-38-005. COFFEE MACHINE IS TAGGED BY CDPH.,41.9947933861118,-87.8827076595157,HUDSON,10255 W ZEMKE RD,TRUE,FALSE,FALSE,POINT (-87.8827076595157 41.9947933861118),75.0,OHARE,371835607.687,76.0,76.0,173625.98466,,
"E & D Incidental, Inc",8745 W Higgins Rd,CHICAGO,IL,60631.0,2023-11-15,Pass,49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED GRIME BUILD UP ON INTERIOR OF HANDWASH SINK AND 3-COMPARTMENT SINK. MUST CLEAN INTERIOR OF BOTH SINKS.,41.9874816875466,-87.8448585034552,E D INCIDENTAL INC,8745 W HIGGINS RD,TRUE,FALSE,FALSE,POINT (-87.8448585034552 41.9874816875466),75.0,OHARE,371835607.687,76.0,76.0,173625.98466,,
Pop Smoke 2,4634 N Cumberland Ave,CHICAGO,IL,60656.0,2021-08-27,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: FOUND NO PROCEDURE/PLAN FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTRUCTED TO PROVIDE AND MAINTAIN REQUIRED PROCEDURE/PLAN AND APPROPRIATE SUPPLIES OR KIT. (NECESSARY ITEMS AT A MINIMUM: GLOVES, FACE MASKS, DISPOSABLE MOPS AND APPROPRIATE SANITIZER/SPRAY THAT KILLS NOROVIRUS)  PRIORITY FOUNDATION VIOLATION 7-38-005 NO CITATION ISSUED",41.9640510557621,-87.8368379178692,POP SMOKE 2,4634 N CUMBERLAND AVE,TRUE,FALSE,FALSE,POINT (-87.8368379178692 41.9640510557621),75.0,OHARE,371835607.687,76.0,76.0,173625.98466,,
Renaissance Chicago O'Hare Hotel,8500 W Bryn Mawr Ave,CHICAGO,IL,60631.0,2020-10-29,Out Of Business,,41.9811807248781,-87.8391675577046,RENAISSANCE CHICAGO OHARE HOTEL,8500 W BRYN MAWR AVE,TRUE,FALSE,FALSE,POINT (-87.8391675577046 41.9811807248781),75.0,OHARE,371835607.687,76.0,76.0,173625.98466,,
Chicago O'Hare Marriott Hotel,8535 W Higgins Rd,CHICAGO,IL,60631.0,2015-06-25,Out Of Business,,41.9867885856625,-87.8401241734616,CHICAGO OHARE MARRIOTT HOTEL,8535 W HIGGINS RD,TRUE,FALSE,FALSE,POINT (-87.8401241734616 41.9867885856625),75.0,OHARE,371835607.687,76.0,76.0,173625.98466,,
Chicago News & Gifts,11601 W Touhy Ave Bldg,CHICAGO,IL,60666.0,2010-03-02,Pass,,42.008750765998,-87.9068741340011,CHICAGO NEWS GIFTS,11601 W TOUHY AVE BLDG,TRUE,FALSE,FALSE,POINT (-87.9068741340011 42.008750765998),75.0,OHARE,371835607.687,76.0,76.0,173625.98466,,
