DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Spartan Bros.Inc.,2025-02-03,Out Of Business,TRUE,FALSE,FALSE,7140 N Harlem Ave,CHICAGO,IL,60631.0,,42.0111098222022,-87.806789672685,SPARTAN BROSINC,7140 N HARLEM AVE,POINT (-87.806789672685 42.0111098222022),8.0,EDISON PARK,31636313.7864,9.0,9.0,25937.226841,,
P & S Meats,2024-03-21,Pass,TRUE,FALSE,FALSE,7544 N Milwaukee Ave,CHICAGO,IL,60631.0,,42.0182559868936,-87.8071346712724,P S MEATS,7544 N MILWAUKEE AVE,POINT (-87.8071346712724 42.0182559868936),8.0,EDISON PARK,31636313.7864,9.0,9.0,25937.226841,,
Happy Foods,2022-11-07,Out Of Business,TRUE,FALSE,FALSE,6783 N Northwest Hwy,CHICAGO,IL,60631.0,,42.0043992612229,-87.8184857553942,HAPPY FOODS,6783 N NORTHWEST HWY,POINT (-87.8184857553942 42.0043992612229),8.0,EDISON PARK,31636313.7864,9.0,9.0,25937.226841,,
Gopuff,2022-02-16,Pass,TRUE,FALSE,FALSE,6437 N Avondale Ave,CHICAGO,IL,60631.0,,41.99790606073,-87.811537193184,GOPUFF,6437 N AVONDALE AVE,POINT (-87.811537193184 41.99790606073),8.0,EDISON PARK,31636313.7864,9.0,9.0,25937.226841,,
Sara Lee Bakery,2017-11-07,Out Of Business,TRUE,FALSE,FALSE,7650 W Touhy Ave,CHICAGO,IL,60631.0,,42.0115244913796,-87.818343778617,SARA LEE BAKERY,7650 W TOUHY AVE,POINT (-87.818343778617 42.0115244913796),8.0,EDISON PARK,31636313.7864,9.0,9.0,25937.226841,,
