DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
La Cienega Super Food Inc,10736 S Ewing Ave,FALSE,TRUE,FALSE,CHICAGO,IL,60617.0,2025-03-28,Pass,"37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED BULK CONTAINERS NOT LABELED IN TAQUERIA AND KITCHEN AREAS. INSTRUCTED MANAGER TO LABEL ALL BULK CONTAINERS WITH COMMON NAME OF FOOD. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED LEAK ON MILK DISPLAY COOLER. INSTRUCTED MANAGER TO REPAIR AND MAINTAIN. OBSERVED INADEQUATE STOPPERS FOR 3-COMPARMENT SINK IN JUICE BAR. INSTRUCTED MANAGER TO PROVIDE ADEQUATE STOPPERS AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DUST BUILDUP ON CEILING VENTS IN TAQUERIA, UPPER WALLS AND UTENSIL HANGING RACKS IN KITCHEN, AND DEBRIS ON FLOOR ALONG WALLS BEHIND REACH-IN COOLER IN KITCHEN. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.",41.699814846467,-87.5354268904825,LA CIENEGA SUPER FOOD INC,10736 S EWING AVE,POINT (-87.5354268904825 41.699814846467),51.0,EAST SIDE,83241728.0493,52.0,52.0,52274.1928493,,
La Flor Grocery Store,10500 S Avenue M,TRUE,FALSE,FALSE,CHICAGO,IL,60617.0,2022-11-29,Out Of Business,,41.7044813097565,-87.5378500246025,LA FLOR GROCERY STORE,10500 S AVENUE M,POINT (-87.5378500246025 41.7044813097565),51.0,EAST SIDE,83241728.0493,52.0,52.0,52274.1928493,,
Southeast Fruit & Veg Mkt,10538 S Ewing Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60617.0,2015-12-15,Out Of Business,,41.7033931584428,-87.5354319505956,SOUTHEAST FRUIT VEG MKT,10538 S EWING AVE,POINT (-87.5354319505956 41.7033931584428),51.0,EAST SIDE,83241728.0493,52.0,52.0,52274.1928493,,
El Rancho,10500 S Ewing Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60617.0,2014-02-21,Out Of Business,,41.704472824897,-87.5354310059059,EL RANCHO,10500 S EWING AVE,POINT (-87.5354310059059 41.704472824897),51.0,EAST SIDE,83241728.0493,52.0,52.0,52274.1928493,,
