DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
"Old Town Oil, Llc",2015-12-09,Pass,TRUE,FALSE,FALSE,1520 N Wells St,CHICAGO,IL,60610.0,,41.9098018190374,-87.6348148117862,OLD TOWN OIL LLC,1520 N WELLS ST,POINT (-87.6348148117862 41.9098018190374),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Old Town Depot,2015-12-09,Out Of Business,TRUE,FALSE,FALSE,1341 N Sedgwick St Bldg,CHICAGO,IL,60610.0,,41.9066852488762,-87.6383079725033,OLD TOWN DEPOT,1341 N SEDGWICK ST BLDG,POINT (-87.6383079725033 41.9066852488762),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Blockbuster Video #17393,2015-12-08,Out Of Business,TRUE,FALSE,FALSE,400 W Division St,CHICAGO,IL,60610.0,,41.9039027427469,-87.6383708862405,BLOCKBUSTER VIDEO 17393,400 W DIVISION ST,POINT (-87.6383708862405 41.9039027427469),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Gateway News,2015-09-29,Pass,TRUE,FALSE,FALSE,676 N St Clair St,CHICAGO,IL,60611.0,,41.8948529613601,-87.6229018004282,GATEWAY NEWS,676 N ST CLAIR ST,POINT (-87.6229018004282 41.8948529613601),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Snap Kitchen,2015-06-16,Pass,TRUE,FALSE,FALSE,1534 N Halsted St,CHICAGO,IL,60642.0,,41.9096852140103,-87.6483911531198,SNAP KITCHEN,1534 N HALSTED ST,POINT (-87.6483911531198 41.9096852140103),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
600 N Lakeshore Drivemart,2014-12-19,Out Of Business,TRUE,FALSE,FALSE,600 N Lake Shore Dr,CHICAGO,IL,60611.0,,41.8927482092378,-87.6146867960138,600 N LAKESHORE DRIVEMART,600 N LAKE SHORE DR,POINT (-87.6146867960138 41.8927482092378),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Harry & David #962,2014-12-15,Out Of Business,TRUE,FALSE,FALSE,45 E Oak St,CHICAGO,IL,60611.0,,41.9006637511048,-87.62667834173,HARRY DAVID 962,45 E OAK ST,POINT (-87.62667834173 41.9006637511048),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Ricci & Company,2014-11-26,Out Of Business,TRUE,FALSE,FALSE,162 W Superior St,CHICAGO,IL,60654.0,,41.8957102293648,-87.6337467509732,RICCI COMPANY,162 W SUPERIOR ST,POINT (-87.6337467509732 41.8957102293648),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
International News,2014-06-05,Pass,TRUE,FALSE,FALSE,800 N State St,CHICAGO,IL,60610.0,,41.8967175755975,-87.6283472902216,INTERNATIONAL NEWS,800 N STATE ST,POINT (-87.6283472902216 41.8967175755975),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Old Coral Llc,2014-02-20,Pass,TRUE,FALSE,FALSE,1260 N Dearborn St,CHICAGO,IL,60610.0,,41.9056511434153,-87.630183757229,OLD CORAL LLC,1260 N DEARBORN ST,POINT (-87.630183757229 41.9056511434153),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Munchies On Larrabee,2013-12-20,Out Of Business,TRUE,FALSE,FALSE,1012 N Larrabee St,CHICAGO,IL,60610.0,,41.9008485875064,-87.6432555365041,MUNCHIES ON LARRABEE,1012 N LARRABEE ST,POINT (-87.6432555365041 41.9008485875064),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Chicago Orleans Foodmart,2013-12-05,Out Of Business,TRUE,FALSE,FALSE,350 W Chicago Ave,CHICAGO,IL,60610.0,,41.8966533807695,-87.637681658139,CHICAGO ORLEANS FOODMART,350 W CHICAGO AVE,POINT (-87.637681658139 41.8966533807695),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Travel Traders #524,2011-12-08,Pass,TRUE,FALSE,FALSE,140 E Walton St,CHICAGO,IL,60611.0,"41. PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED - Comments: ALL SODA CRATES USED FOR DRY STORAGE RACKS MUST BE REPLACED WITH REGULAR SHELVINGS, FOR EASY ACCESS TO CLEANING/PEST MONITORING.   All parts of the food establishment and all parts of the property used in connection with the operation of the establishment shall be kept neat and clean and should not produce any offensive odors.",41.9001184572585,-87.6239805194695,TRAVEL TRADERS 524,140 E WALTON ST,POINT (-87.6239805194695 41.9001184572585),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Zen & Now,2011-12-07,Pass,TRUE,FALSE,FALSE,250 E Superior St,CHICAGO,IL,60611.0,,41.8958981573956,-87.620772913093,ZEN NOW,250 E SUPERIOR ST,POINT (-87.620772913093 41.8958981573956),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Quick Stop,2011-10-25,Pass,TRUE,FALSE,FALSE,101 E Erie St,CHICAGO,IL,60611.0,"34. FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED - Comments: ALL STOCK/SUPPLIES MUST BE ELEVATED OFF THE FLOOR.   The floors shall be constructed per code, be smooth and easily cleaned, and be kept clean and in good repair.",41.8940096871127,-87.6253677183054,QUICK STOP,101 E ERIE ST,POINT (-87.6253677183054 41.8940096871127),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
Karad Drug Company Inc #10,2010-12-17,Out Of Business,TRUE,FALSE,FALSE,455 N Cityfront Plaza Dr,CHICAGO,IL,60611.0,,41.890001335214700,-87.6214386883013,KARAD DRUG COMPANY INC 10,455 N CITYFRONT PLAZA DR,POINT (-87.6214386883013 41.890001335214706),7.0,NEAR NORTH SIDE,76675895.9728,8.0,8.0,57293.1649516,,
