DBA Name,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,Address,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Top Butcher,2025-02-13,Pass,TRUE,FALSE,FALSE,7128 W Grand Ave,CHICAGO,IL,60707.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED NO HANDWASHING SIGNAGE AT HANDSINKS THROUGHOUT PREMISES. INSTRUCTED TO PROVIDE AND MAINTAIN AT ALL TIMES. | 44. UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED - Comments: OBSERVED PLATES AND BOWLS IN REAR STORAGE AREA NOT INVERTED. INSTRUCTED TO INVERT PLATES AND BOWLS AFTER SANITIZING AND AIR DRYING.  | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED TORN DOOR GASKET INSIDE OF REAR WALK-IN FREEZER. INSTRUCTED TO REPLACE AND MAINTAIN.",41.9237368564362,-87.803789794549,TOP BUTCHER,7128 W GRAND AVE,POINT (-87.803789794549 41.9237368564362),17.0,MONTCLARE,27576393.6325,18.0,18.0,22404.8521448,,
Kolatek'S Bakery Inc.,2025-01-17,Out Of Business,TRUE,FALSE,FALSE,2445-2447 N Harlem Ave,CHICAGO,IL,60707.0,,41.9248233284734,-87.8061343543856,KOLATEKS BAKERY INC,24452447 N HARLEM AVE,POINT (-87.8061343543856 41.9248233284734),17.0,MONTCLARE,27576393.6325,18.0,18.0,22404.8521448,,
"Regal Health Foods International, Inc.",2020-05-08,Pass,TRUE,FALSE,FALSE,2701 N Normandy Ave,CHICAGO,IL,60707.0,10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED WATER FLOWS FOR AN INSUFFICIENT AMOUNT OF TIME AT HAND SINKS. INSTRUCTED MUST SET ALL HANDSINKS TO PROVIDE MINIMUM OF 15 SECONDS OF CONTINUOUS WATER FLOW FOR ADEQUATE HAND WASHING. MUST MAINTAIN SAME.,41.929185241522300,-87.7928299373056,REGAL HEALTH FOODS INTERNATIONAL INC,2701 N NORMANDY AVE,POINT (-87.7928299373056 41.929185241522305),17.0,MONTCLARE,27576393.6325,18.0,18.0,22404.8521448,,
Mercato Del Pesce Inc,2020-01-30,Out Of Business,TRUE,FALSE,FALSE,2623 N Harlem Ave,CHICAGO,IL,60707.0,,41.9278708472522,-87.8062439655352,MERCATO DEL PESCE INC,2623 N HARLEM AVE,POINT (-87.8062439655352 41.9278708472522),17.0,MONTCLARE,27576393.6325,18.0,18.0,22404.8521448,,
El Cisne,2014-12-02,Out Of Business,TRUE,FALSE,FALSE,6924 W Diversey Ave,CHICAGO,IL,60707.0,,41.9309493295759,-87.7990838714211,EL CISNE,6924 W DIVERSEY AVE,POINT (-87.7990838714211 41.9309493295759),17.0,MONTCLARE,27576393.6325,18.0,18.0,22404.8521448,,
Kolatek'S Bakery & Deli,2014-02-19,Out Of Business,TRUE,FALSE,FALSE,2447 N Harlem Ave,CHICAGO,IL,60707.0,,41.924885537364,-87.8061373774386,KOLATEKS BAKERY DELI,2447 N HARLEM AVE,POINT (-87.8061373774386 41.924885537364),17.0,MONTCLARE,27576393.6325,18.0,18.0,22404.8521448,,
Kolatek'S Bakery Inc,2014-02-19,Out Of Business,TRUE,FALSE,FALSE,2445 N Harlem Ave,CHICAGO,IL,60707.0,,41.9248233284734,-87.8061343543856,KOLATEKS BAKERY INC,2445 N HARLEM AVE,POINT (-87.8061343543856 41.9248233284734),17.0,MONTCLARE,27576393.6325,18.0,18.0,22404.8521448,,
