DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Save-A-Lot  #862,4701 S Cottage Grove Ave,CHICAGO,IL,60615.0,2024-10-07,Out Of Business,,41.809489246531,-87.606417429394,SAVEALOT 862,4701 S COTTAGE GROVE AVE,TRUE,FALSE,FALSE,POINT (-87.606417429394 41.809489246531),38.0,KENWOOD,29071741.9283,39.0,39.0,23325.1679062,,
44Th Wholesale & Retail,4351 S Cottage Grove Ave,CHICAGO,IL,60653.0,2024-03-07,Out Of Business,,41.8153132010372,-87.6065301950705,44TH WHOLESALE RETAIL,4351 S COTTAGE GROVE AVE,TRUE,FALSE,FALSE,POINT (-87.6065301950705 41.8153132010372),38.0,KENWOOD,29071741.9283,39.0,39.0,23325.1679062,,
"Hyde Park Grocery & Deli, Inc.",1390 E Hyde Park Blvd,CHICAGO,IL,60615.0,2018-12-06,Out Of Business,,41.8025298869807,-87.5919363393237,HYDE PARK GROCERY DELI INC,1390 E HYDE PARK BLVD,TRUE,FALSE,FALSE,POINT (-87.5919363393237 41.8025298869807),38.0,KENWOOD,29071741.9283,39.0,39.0,23325.1679062,,
Harper Mini Food,4850 S Lake Park,CHICAGO,IL,60615.0,2016-03-24,Pass,"33. FOOD AND NON-FOOD CONTACT EQUIPMENT UTENSILS CLEAN, FREE OF ABRASIVE DETERGENTS - Comments: DETAIL CLEAN SHELVING RACKS IN THE REACH IN COOLER.  | 38. VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED - Comments: MUST INSTALL VENTILATION IN WASH ROOMS.",41.806195549526,-87.5895782827317,HARPER MINI FOOD,4850 S LAKE PARK,TRUE,FALSE,FALSE,POINT (-87.5895782827317 41.806195549526),38.0,KENWOOD,29071741.9283,39.0,39.0,23325.1679062,,
