DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Falcon Fuel,7600 S South Chicago Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60619.0,2021-08-25,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED TWO SMALL OPENINGS AT THE BOTTOM OF THE SIDE EXIT DOOR; INSTRUCTED TO SEAL TO AVOID RODENT ENTRY. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO CLEAN ALL STORAGE SHELVES TO REMOVE DUST AND DIRT BEHIND SERVING COUNTER. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED A LEAK AT THE VALVE UNDERNEATH THE UTILITY SINK; INSTRUCTED TO REPAIR LEAK. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED DEAD INSECTS INSIDE OF LIGHT SHIELDS; INSTRUCTED TO CLEAN LIGHT SHIELDS WHERE NEEDED.",41.7567360990494,-87.5930709553786,FALCON FUEL,7600 S SOUTH CHICAGO AVE,POINT (-87.5930709553786 41.7567360990494),44.0,AVALON PARK,34852737.7366,45.0,45.0,27630.822534,,
Tbd,8700 S Yates Blvd,TRUE,FALSE,FALSE,CHICAGO,IL,60617.0,2016-08-10,Not Ready,,41.7372185979717,-87.5661760914667,TBD,8700 S YATES BLVD,POINT (-87.5661760914667 41.7372185979717),44.0,AVALON PARK,34852737.7366,45.0,45.0,27630.822534,,
Pick Me Up Mart,8159 S Stony Island Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60617.0,2012-07-11,Fail,"14. PREVIOUS SERIOUS VIOLATION CORRECTED, 7-42-090 - Comments: PREVIOUS SERIOUS VIOLATION STILL NOT CORRECTED FROM LAST INSPECTION DATED 7/3/12,REPORT #1229958. COFFEE AND CAPPUCCINO MACHINE STILL REMAIN ON PREMISES AND STILL CONNECTED TO WATER DRAIN LINE AND 3- COMP SINK NOT INSTALL TO WASH,RINSE AND SANITIZE REMOVABLE EQUIPMENT PARTS (KNOBS,COFFEE DISPENSER ETC) FROM MACHINE.CRITICAL CITATION ISSUED.OWNER DISCONNECTED MACHINES FROM DRAIN LINE DURING INSPECTION,CDI. | 24. DISH WASHING FACILITIES: PROPERLY DESIGNED, CONSTRUCTED, MAINTAINED, INSTALLED, LOCATED AND OPERATED - Comments: SEE VIOLATION #14.VIOLATION NOT CORRECTED.NO 3-COMP SINK INSTALLED. | 35. WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS - Comments: OPENINGS AROUND PIPES MUST SEAL.",41.7461204281646,-87.5852610284512,PICK ME UP MART,8159 S STONY ISLAND AVE,POINT (-87.5852610284512 41.7461204281646),44.0,AVALON PARK,34852737.7366,45.0,45.0,27630.822534,,
