DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Joshua Grocery Inc.,4425 W 55Th St,CHICAGO,IL,60632.0,2020-04-15,Out Of Business,,41.7930017889977,-87.7340434562595,JOSHUA GROCERY INC,4425 W 55TH ST,TRUE,FALSE,FALSE,POINT (-87.7340434562595 41.7930017889977),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Fani Y Monse Groceries,3803 W 55Th St,CHICAGO,IL,60632.0,2019-05-02,Pass W/ Conditions,5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: OBSERVED NO VOMIT AND DIARRHEA CLEAN UP POLICY ON SITE. MUST PROVIDE WRITTEN PROCEDURE FOR THE CLEAN UP OF VOMIT AND DIARRHEA EVENTS AND CORRESPONDING EQUIPMENT OUTLINED IN THE PROCEDURE. PRIORITY FOUNDATION VIOLATION.,41.7931638723442,-87.7183967253074,FANI Y MONSE GROCERIES,3803 W 55TH ST,TRUE,FALSE,FALSE,POINT (-87.7183967253074 41.7931638723442),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
Salgado'S Grocery Store,4434 W 59Th St,CHICAGO,IL,60629.0,2014-09-23,Out Of Business,,41.7859304663109,-87.7341158583641,SALGADOS GROCERY STORE,4434 W 59TH ST,TRUE,FALSE,FALSE,POINT (-87.7341158583641 41.7859304663109),61.0,WEST ELSDON,32711091.4259,62.0,62.0,26229.6956007,,
