DBA Name,Address,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES
Y B Midway Inc.,4951 S Cicero Ave,CHICAGO,IL,60632.0,2024-03-21,Out Of Business,,41.8024688564908,-87.7428654385437,Y B MIDWAY INC,4951 S CICERO AVE,TRUE,FALSE,FALSE,POINT (-87.7428654385437 41.8024688564908),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Buyk,4838 S Cicero Ave,CHICAGO,IL,60638.0,2021-12-28,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED AN APPX. ""1/2-3/4"" GAP ALONG BOTTOM AND CENTER OF DOUBLE FRONT ENTRY DOORS.MUST MAKE DOORS TIGHT FITTING. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: MUST PROVIDE A GARBAGE CAN WITH A LID IN WOMEN'S TOILET ROOM. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST ELEVATE, REMOVE OR ORGANIZE ARTICLES OFF OF FLOOR AND AWAY FROM WALLS IN REAR AREA.",41.8046272553303,-87.7432282015702,BUYK,4838 S CICERO AVE,TRUE,FALSE,FALSE,POINT (-87.7432282015702 41.8046272553303),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Midway Airport Concessionares,5800 S Cicero Ave,CHICAGO,IL,60638.0,2017-05-04,Out Of Business,,41.7876524285423,-87.7415597445818,MIDWAY AIRPORT CONCESSIONARES,5800 S CICERO AVE,TRUE,FALSE,FALSE,POINT (-87.7415597445818 41.7876524285423),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Relay #4172,5757 S Cicero Ave,CHICAGO,IL,60638.0,2015-11-24,Out Of Business,,41.7878356311553,-87.7412765595566,RELAY 4172,5757 S CICERO AVE,TRUE,FALSE,FALSE,POINT (-87.7412765595566 41.7878356311553),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Bobak Sausage Company,5275 S Archer Ave,CHICAGO,IL,60632.0,2015-04-10,Out Of Business,,41.7992877607037,-87.7383790236874,BOBAK SAUSAGE COMPANY,5275 S ARCHER AVE,TRUE,FALSE,FALSE,POINT (-87.7383790236874 41.7992877607037),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
"45Th & Cicero, Inc.",4500 S Cicero Ave,CHICAGO,IL,60638.0,2014-12-16,Out Of Business,,41.8111803126436,-87.7433985178287,45TH CICERO INC,4500 S CICERO AVE,TRUE,FALSE,FALSE,POINT (-87.7433985178287 41.8111803126436),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Bobak Sausage Company,5279 S Archer Ave,CHICAGO,IL,60632.0,2013-10-10,Out Of Business,,41.7992568236408,-87.7385758023992,BOBAK SAUSAGE COMPANY,5279 S ARCHER AVE,TRUE,FALSE,FALSE,POINT (-87.7385758023992 41.7992568236408),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
Chester'S Polish Deli,6743 W Archer Ave,CHICAGO,IL,60638.0,2013-09-06,Out Of Business,,41.7920612596621,-87.7908335137746,CHESTERS POLISH DELI,6743 W ARCHER AVE,TRUE,FALSE,FALSE,POINT (-87.7908335137746 41.7920612596621),55.0,GARFIELD RIDGE,117890778.429,56.0,56.0,60080.4479704,,
