DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
"Hyde Park Produce, Ltd",1226 E 53Rd St,FALSE,TRUE,TRUE,CHICAGO,IL,60615.0,2025-03-05,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE TOP OF THE FRONT DOORS NOT TIGHT FITTING. MUST SEAL TO PREVENT ENTRY POINT FOR PESTS. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: OBSERVED RAW WOOD USED AS SHELVING INSIDE THE WALK IN COOLER. SHELVING MUST BE SMOOTH AND EASILY CLEANABLE. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR SHOOT OF THE ICE MACHINE DIRTY. MUST CLEAN AND MAINTAIN.",41.7995768021671,-87.5955129218999,HYDE PARK PRODUCE LTD,1226 E 53RD ST,POINT (-87.5955129218999 41.7995768021671),40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,,
"Ingleside Food Market, Inc.",5117 S Ingleside Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60615.0,2024-10-22,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: OBSERVED THE FRONT DOOR WITH A 1/4"" GAP AT THE BOTTOM AND OPENING AT THE REAR EXIT DOOR. MUST REPAIR AND MAINTAIN TO PREVENT ENTRY POINTS FOR PESTS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: MUST CLEAN THE INTERIOR OF THE REACH IN COOLER TO REMOVE SPILLS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING IN THE WALK IN COOLERS TO REMOVE SPILLS AND DEBRIS.",41.8017550296982,-87.6027277063338,INGLESIDE FOOD MARKET INC,5117 S INGLESIDE AVE,POINT (-87.6027277063338 41.8017550296982),40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,,
Target Store T-3219,1330 E 53Rd St,FALSE,TRUE,TRUE,CHICAGO,IL,60615.0,2024-10-21,Pass W/ Conditions,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: NO VALID CITY OF CHICAGO CERTIFIED MANAGER ON DUTY/SITE WHILE TCS FOODS ARE BEING PREPARED, HANDLED AND SERVED SUCH AS BREAKFAST SANDWICHES (W/ EGGS AND SAUSAGES). INSTRUCTED MANAGER THAT A VAILD CITY CERITED MANAGER MUST BE ON DUTY AT ALL TIMES. PRIORITY FOUNDATION CITATION ISSUED #7-38-012. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED DETAIL CLEANING IN THE REAR STORAGE AREA AROUND THE COMPACTOR. FLOORS AND WALLS NEED CLEANING IN THE STARBUCK COFFEE SERVICE COUNTER.",41.7995978693896,-87.5937610368808,TARGET STORE T3219,1330 E 53RD ST,POINT (-87.5937610368808 41.7995978693896),40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,,
Trader Joe'S #706,1528 E 55Th St,FALSE,TRUE,TRUE,CHICAGO,IL,60615.0,2024-08-23,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED THE INTERIOR OF THE DISPLAY COOLERS AND FREEZER DIRTY IN THE SELLING AREA. MUST CLEAN AND MAINTAIN | 54. GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED - Comments: OBSERVED LITTER ON THE GROUND INSIDE THE ENCLOSED GARBAGE CORRAL. MUST CLEAN AND MAINTAIN TO PREVENT POSSIBLE HARBORAGE FOR PESTS. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MUST CLEAN THE FLOORS INSIDE THE WALK IN DAIRY COOLER TO REMOVE DEBRIS. ALSO DEFOST AND CLEAN THE WALK IN FREEZER.",41.7953009590868,-87.5881970892806,TRADER JOES 706,1528 E 55TH ST,POINT (-87.5881970892806 41.7953009590868),40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,,
Whole Foods Market,5118 S Lake Park,FALSE,TRUE,TRUE,CHICAGO,IL,60615.0,2025-01-21,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FLOORS NEED CLEANING AROUND COOKING EQUIPMENT AND IN THE SUSHI PREP AREA TO REMOVE SPILLS,DEBRIS AND/OR GREASE.",41.8018296311675,-87.5878260476961,WHOLE FOODS MARKET,5118 S LAKE PARK,POINT (-87.5878260476961 41.8018296311675),40.0,HYDE PARK,45105380.1732,41.0,41.0,29746.7082016,,,,
