DBA Name,Address,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Inspection Date,Results,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Big Daddy Food And More,3845 W Roosevelt Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60624.0,2024-04-24,Pass,"38. INSECTS, RODENTS, & ANIMALS NOT PRESENT - Comments: 6-202.15 OBSERVED REAR DOOR NEAR CHIP RACKS WITH 1/4 INCH GAP AT BOTTOM OF DOOR. INSTRUCTED TO ENCLOSE TO PREVENT PEST ENTRY. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: 4-601.11(C) OBSERVED INTERIOR SURFACES OF 2-DOOR COOLER AND DISPLAY COOLER WITH DELI MEATS/CHEESES STORED INSIDE IN REAR PREP AREA WITH EXCESSIVE SPILLS AND FOOD RESIDUE. INSTRUCTED TO CFOOD DEBRISLEAN AND MAINTAIN EQUIPMENT.",41.866106306584,-87.7219401269028,BIG DADDY FOOD AND MORE,3845 W ROOSEVELT RD,POINT (-87.7219401269028 41.866106306584),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,,
Blue Sky Market Inc,3364 W Ogden Ave,TRUE,FALSE,FALSE,CHICAGO,IL,60623.0,2021-05-05,Pass W/ Conditions,"5. PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS - Comments: NO PROCEDURE IN PLACE FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS. INSTD TO PROVIDE PROCEDURE AND NECESSARY SUPPLIES EFFECTIVE AGAINING NOROVIRUS AND MAINTAIN ON SITE. PRIORITY FOUNDATION 7-38-010 | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: RAW WOOD SURFACES IN REAR AROUND DOOR FRAME. INSTD TO SEAL RAW WOOD",41.856418419853,-87.7101804657595,BLUE SKY MARKET INC,3364 W OGDEN AVE,POINT (-87.7101804657595 41.856418419853),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,,
Gogo Food Market,1800 S Pulaski Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60623.0,2024-01-08,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: OBSERVED NOT-IN-USE EQUIPMENT LOCATED INSIDE THE PREP AREA IN NEED OF CLEANING. INSTRUCTED TO CLEAN INTERIOR AND EXTERIOR SURFACES AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED CEILING TILE IN FRONT OF FACILITY DAMAGED AND WATER-STAINED TILES IN REAR OR FACILITY, INSTRUCTED TO REPLACE.",41.8569414553968,-87.7250549141586,GOGO FOOD MARKET,1800 S PULASKI RD,POINT (-87.7250549141586 41.8569414553968),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,,
Kifah Food Market,3906 W Roosevelt Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60624.0,2024-07-01,Pass,"36. THERMOMETERS PROVIDED & ACCURATE - Comments: OBSERVED COOLING UNIT IN REAR STORAGE FACILITY WITHOUT THERMOMETER, INSTRUCTED TO PROVIDE AND MAINTAIN. | 47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: INSTRUCTED TO REMOVE ALL BLACK MILK CRATES USED FOR ELEVATIONS THROUGH OUR FACILITY. MUST PROVIDE ADEQUATE SHELVING UNITS THAT ARE SMOOTH AND EASILY CLEANABLE. | 53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments: OBSERVED INADEQUATE SELF-CLOSING DOOR ON TOILET ROOM IN REAR FACILITY. INSTRUCTED TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: OBSERVED STORED UNUSED EQUIPMENT AND MISCELLANEOUS ITEMS STACKED UP IN BASEMENT STORAGE. INSTRUCTED TO REMOVE ALL UNNECESSARY ITEMS AND ELEVATE TO PREVENT HIDING SPACES FOR PESTS.",41.8663116411928,-87.7230322641453,KIFAH FOOD MARKET,3906 W ROOSEVELT RD,POINT (-87.7230322641453 41.8663116411928),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,,
Leamington Foods Inc,3240 W Roosevelt Rd,TRUE,FALSE,FALSE,CHICAGO,IL,60624.0,2025-03-28,Pass W/ Conditions,"2. CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE - Comments: OBSERVED NO CITY OF CHICAGO CERTIFIED FOOD MANAGER ON SITE WITH VALID ORIGINAL CERTIFICATE DURING TIME OF INSPECTION WHILE PREPARING GROUND BEEF, PORK, CHICKEN. INSTRUCTED TO PROVIDE AT LEAST ONE CERTIFICATE HOLDER ON SITE AT ALL TIMES WHILE OPEN AND OPERATING. PRIORITY FOUNDATION VIOLATION. #7-38-012. CITATION ISSUED.",41.8664973081259,-87.7073377871256,LEAMINGTON FOODS INC,3240 W ROOSEVELT RD,POINT (-87.7073377871256 41.8664973081259),28.0,NORTH LAWNDALE,89487422.0242,29.0,29.0,44959.4596627,,,,
