DBA Name,Address,Inspection Date,Results,IS_JUNK_STORE,IS_REAL_GROCERY,HAS_PRODUCE_FLAG,City,State,Zip,Violations,Latitude,Longitude,DBA_NAME_CLEAN,ADDRESS_CLEAN,geometry,index_right,Community,shape_area,area_num_1,AreaNumber,shape_len,IS_REVIEWED_REAL,REVIEW_NOTES,Action,Notes
Aldi Inc #10,4501 S Pulaski Rd,2024-11-25,Pass,FALSE,TRUE,TRUE,CHICAGO,IL,60632.0,,41.8114515422364,-87.7235746544204,ALDI INC 10,4501 S PULASKI RD,POINT (-87.7235746544204 41.8114515422364),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,,,
Carniceria La Hacienda #5,5044-5054 S Archer Ave,2025-02-25,Pass,FALSE,TRUE,TRUE,CHICAGO,IL,60632.0,"10. ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE - Comments: OBSERVED FAUCET AT HANDSINK IN FRONT PREP AREA TO NOT MAINTAIN PROPER CONTINUOUS FLOW OF HOT WATER. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 37. FOOD PROPERLY LABELED; ORIGINAL CONTAINER - Comments: OBSERVED SMALL MENUDO CONTAINERS NOT PROPERLY LABELED(LARGE CONTAINERS LABELED PROPERLY).INSTRUCTED THE PERSON IN CHARGE TO PROPERLY LABEL ALL PACKAGED FOOD ITEMS WITH IDENTITY, NET WEIGHT, INGREDIENTS, BUSINESS NAME, AND ADDRESS WHERE MADE AND PACKAGED. | 51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: OBSERVED WATER FILTER IN LOCATION NOT FACILITATING DISASSEMBLY FOR SERVICING AND CLEANING. INSTRUCTED PERSON TO REMOVE AND CONVENTIENTLY LOCATE.",41.8014000330526,-87.7260437419008,CARNICERIA LA HACIENDA 5,50445054 S ARCHER AVE,POINT (-87.7260437419008 41.8014000330526),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,,,
Pete'S Market #3,4343 S Pulaski Rd,2025-04-09,Pass,FALSE,TRUE,TRUE,CHICAGO,IL,60632.0,"51. PLUMBING INSTALLED; PROPER BACKFLOW DEVICES - Comments: 5-205.15 OBSERVED LEAK AT BOTTOM PIPE OF SINK IN MEAT PROCESSING ROOM. INSTRUCTED PERSON IN CHARGE TO REPAIR AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.114 OBSERVED CLUTTER IN CORNERS NEAR CARDBOARD BALER MACHINE AND NEAR CHEMICAL STORAGE RACK. INSTRUCTED PERSON IN CHARGE TO CLEAN AND ORGANIZE AREAS, REMOVING UNNECESSARY ITEMS AND STORING ALL ITEMS AT LEAST SIX INCHES FROM FLOOR.",41.8139143113469,-87.7236649419466,PETES MARKET 3,4343 S PULASKI RD,POINT (-87.7236649419466 41.8139143113469),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,,,
Supermercado Rivera Inc.,4334-4338 W 51St St,2024-09-19,Pass,FALSE,TRUE,TRUE,CHICAGO,IL,60632.0,,41.8005853774409,-87.7320860841275,SUPERMERCADO RIVERA INC,43344338 W 51ST ST,POINT (-87.7320860841275 41.8005853774409),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,,,
Supermercado Rivera Inc.,4334 W 51St St,2013-10-21,Out Of Business,TRUE,FALSE,FALSE,CHICAGO,IL,60632.0,,41.8005853774409,-87.7320860841275,SUPERMERCADO RIVERA INC,4334 W 51ST ST,POINT (-87.7320860841275 41.8005853774409),56.0,ARCHER HEIGHTS,55922505.7212,57.0,57.0,31880.0210295,,,,
